x,AccuLevel,DetectorLoad,ModuleLoad,AccuControl,Setpoint,AccuTsat
4489.11,40.768,33.899,17.523,-5.488,,-3.855
4504.67,40.763,33.893,17.52,-5.196,,-3.876
4537.71,40.761,33.882,17.515,-4.435,,-3.92
4554.98,40.763,33.876,17.512,-3.445,,-3.942
4573.86,40.767,33.87,17.509,-2.265,,-3.965
4607.2,40.777,33.858,17.504,-1.701,,-4.002
4608.45,40.777,33.858,17.504,-1.694,,-4.003
4649.32,40.792,33.844,17.498,-1.732,,-4.041
4656.06,40.795,33.841,17.498,-1.77,,-4.046
4686.54,40.806,33.845,17.494,-1.862,,-4.064
4691.74,40.808,33.846,17.493,-1.845,,-4.067
4723.49,40.816,33.85,17.489,-1.628,,-4.077
4742.05,40.819,33.853,17.487,-1.616,,-4.079
4786.06,40.818,33.858,17.481,-2.605,,-4.079
4826.93,40.817,33.864,17.476,-3.442,,-4.073
4836.68,40.818,33.865,17.475,-3.163,,-4.071
4859.98,40.818,33.868,17.472,-2.186,,-4.067
4901.14,40.82,33.873,17.467,-1.482,,-4.062
4927.56,40.821,33.877,17.463,-1.386,,-4.061
4965.28,40.822,33.882,17.457,-2.718,,-4.065
5018.72,40.822,33.889,17.448,-4.315,,-4.074
5047.34,40.82,33.892,17.442,-3.725,,-4.08
5058.12,40.819,33.894,17.44,-3.493,,-4.082
5062.74,40.818,33.893,17.439,-3.439,,-4.083
5105.75,40.811,33.882,17.428,-3.576,,-4.09
5127.17,40.808,33.876,17.422,-3.629,,-4.092
5166.5,40.808,33.866,17.409,-2.868,,-4.091
5185.71,40.813,33.862,17.401,-2.951,,-4.09
5202.95,40.822,33.857,17.394,-3.109,,-4.088
5224.64,40.838,33.852,17.383,-3.171,,-4.083
5237.23,40.849,33.849,17.376,-1.991,,-4.08
5279.69,40.894,33.838,17.351,-2.714,,-4.067
5305.38,40.923,33.832,17.333,-3.412,,-4.057
5311.13,40.929,33.83,17.329,-3.437,,-4.055
5358.61,40.976,33.818,17.295,-3.021,,-4.033
