x,AccuLevel,DetectorLoad,ModuleLoad,AccuControl,AccuTsat
4901.15,40.82,33.873,17.466,-1.482,-4.062
4927.57,40.821,33.877,17.463,-1.386,-4.105
4965.29,40.822,33.881,17.457,-2.718,-4.187
5018.72,40.822,33.888,17.447,-4.316,-4.314
5047.34,40.82,33.892,17.442,-3.725,-4.372
5058.13,40.818,33.894,17.439,-3.493,-4.389
5062.75,40.818,33.892,17.438,-3.44,-4.396
5105.76,40.811,33.882,17.428,-3.576,-4.422
5127.18,40.808,33.876,17.422,-3.629,-4.407
5166.51,40.808,33.866,17.408,-2.868,-4.337
5185.74,40.813,33.861,17.401,-2.952,-4.29
5202.96,40.821,33.857,17.393,-3.109,-4.246
5224.65,40.837,33.852,17.383,-3.171,-4.19
5237.24,40.849,33.848,17.376,-1.992,-4.159
5279.7,40.894,33.838,17.35,-2.714,-4.08
5305.39,40.923,33.831,17.333,-3.413,-4.058
5311.14,40.929,33.83,17.329,-3.437,-4.056
5358.62,40.975,33.818,17.295,-3.022,-4.084
5367.74,40.983,33.816,17.288,-2.942,-4.096
5422.55,41.017,33.802,17.259,-2.771,-4.198
5440,41.025,33.804,17.257,-2.827,-4.237
5496.69,41.043,33.812,17.284,-3.171,-4.363
5507.62,41.045,33.814,17.297,-3.168,-4.386
5524.98,41.048,33.816,17.321,-3.015,-4.418
5559.48,41.053,33.821,17.379,-2.711,-4.466
5566.08,41.054,33.822,17.391,-2.73,-4.473
5633.39,41.058,33.831,17.513,-3.243,-4.497
5700.97,41.063,33.84,17.592,-2.938,-4.438
5714.63,41.065,33.842,17.595,-2.945,-4.415
5743.28,41.069,33.846,17.575,-3.085,-4.359
5759.16,41.073,33.848,17.543,-3.128,-4.324
5798.85,41.088,33.854,17.403,-2.973,-4.239
5809.78,41.094,33.858,17.357,-2.919,-4.22
5828.28,41.109,33.866,17.288,-2.86,-4.193
5879.33,41.183,33.886,17.351,-2.93,-4.172
5890.83,41.207,33.89,17.457,-2.969,-4.179
5913.17,41.255,33.899,17.751,-3.05,-4.205
5923.62,41.276,33.903,17.899,-3.085,-4.221
5929.21,41.286,33.903,17.976,-3.103,-4.231
5983.94,41.356,33.904,17.991,-3.239,-4.359
6005.95,41.368,33.904,16.602,-3.163,-4.424
6007.67,41.369,33.904,16.355,-3.145,-4.43
6014.05,41.37,33.904,14.852,-3.075,-4.45
6018.75,41.37,27.739,11.89,-3.019,-4.466
6020.24,41.369,20.927,9.317,-2.999,-4.471
6021.92,41.369,31.963,6.464,-2.976,-4.477
6031.34,41.366,4.192,2.379,-2.814,-4.509
6032.67,41.365,0.262,2.147,-2.784,-4.514
6034.25,41.364,0.263,1.911,-2.744,-4.52
6045.23,41.352,0.27,0.876,-1.678,-4.56
6045.25,41.352,0.27,0.875,0.186,-4.56
6051.55,41.341,0.273,0.542,1.709,-4.584
6051.58,41.341,0.273,0.541,5.705,-4.584
6054.74,41.334,0.275,0.415,9.054,-4.596
6056.3,41.33,0.276,0.362,2.927,-4.602
6058.12,41.325,0.277,0.305,3.259,-4.609
6068.97,41.283,0.283,0.074,7.989,-4.653
6075.22,41.243,0.286,0.004,11.261,-4.679
6081.53,41.183,0.29,-0.032,14.458,-4.706
6084.69,41.139,0.292,-0.039,16.779,-4.72
6094.16,40.868,0.297,-0.028,21.346,-4.763
6095.85,40.793,0.298,-0.022,22.062,-4.77
6106.79,40.43,0.304,0.042,28.463,-4.821
6108.39,40.384,0.305,0.054,36.15,-4.829
6116.3,40.146,0.309,0.119,39.737,-4.867
6130.46,39.657,0.317,0.25,44.942,-4.938
6133.64,39.544,0.319,0.278,49.508,-4.954
6138.31,39.385,0.322,0.319,51.856,-4.978
